,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,name
0,15.0,8,350.0,165.0,3693.0,11.5,70,USA,"""buick skylark 320"""
1,18.0,8,318.0,150.0,3436.0,11.0,70,USA,"""plymouth satellite"""
2,16.0,8,304.0,150.0,3433.0,12.0,70,USA,"""amc rebel sst"""
3,17.0,8,302.0,140.0,3449.0,10.5,70,USA,"""ford torino"""
4,15.0,8,429.0,198.0,4341.0,10.0,70,USA,"""ford galaxie 500"""
5,14.0,8,454.0,220.0,4354.0,9.0,70,USA,"""chevrolet impala"""
6,14.0,8,440.0,215.0,4312.0,8.5,70,USA,"""plymouth fury iii"""
7,14.0,8,455.0,225.0,4425.0,10.0,70,USA,"""pontiac catalina"""
8,15.0,8,390.0,190.0,3850.0,8.5,70,USA,"""amc ambassador dpl"""
9,15.0,8,383.0,170.0,3563.0,10.0,70,USA,"""dodge challenger se"""
10,14.0,8,340.0,160.0,3609.0,8.0,70,USA,"""plymouth 'cuda 340"""
11,15.0,8,400.0,150.0,3761.0,9.5,70,USA,"""chevrolet monte carlo"""
12,14.0,8,455.0,225.0,3086.0,10.0,70,USA,"""buick estate wagon (sw)"""
13,24.0,4,113.0,95.00,2372.0,15.0,70,Mexico,"""toyota corona mark ii"""
14,22.0,6,198.0,95.00,2833.0,15.5,70,USA,"""plymouth duster"""
15,18.0,6,199.0,97.00,2774.0,15.5,70,USA,"""amc hornet"""
16,21.0,6,200.0,85.00,2587.0,16.0,70,USA,"""ford maverick"""
17,27.0,4,97.0,88.00,2130.0,14.5,70,Mexico,"""datsun pl510"""
18,26.0,4,97.0,46.00,1835.0,20.5,70,Canada,"""volkswagen 1131 deluxe sedan"""
19,25.0,4,110.0,87.00,2672.0,17.5,70,Canada,"""peugeot 504"""
20,24.0,4,107.0,90.00,2430.0,14.5,70,Canada,"""audi 100 ls"""
21,25.0,4,104.0,95.00,2375.0,17.5,70,Canada,"""saab 99e"""
22,26.0,4,121.0,113.0,2234.0,12.5,70,Canada,"""bmw 2002"""
23,21.0,6,199.0,90.00,2648.0,15.0,70,USA,"""amc gremlin"""
24,10.0,8,360.0,215.0,4615.0,14.0,70,USA,"""ford f250"""
25,10.0,8,307.0,200.0,4376.0,15.0,70,USA,"""chevy c20"""
26,11.0,8,318.0,210.0,4382.0,13.5,70,USA,"""dodge d200"""
27,9.0,8,304.0,193.0,4732.0,18.5,70,USA,"""hi 1200d"""
28,27.0,4,97.0,88.00,2130.0,14.5,71,Mexico,"""datsun pl510"""
29,28.0,4,140.0,90.00,2264.0,15.5,71,USA,"""chevrolet vega 2300"""
30,25.0,4,113.0,95.00,2228.0,14.0,71,Mexico,"""toyota corona"""
31,19.0,6,232.0,100.0,2634.0,13.0,71,USA,"""amc gremlin"""
32,16.0,6,225.0,105.0,3439.0,15.5,71,USA,"""plymouth satellite custom"""
33,17.0,6,250.0,100.0,3329.0,15.5,71,USA,"""chevrolet chevelle malibu"""
34,19.0,6,250.0,88.00,3302.0,15.5,71,USA,"""ford torino 500"""
35,18.0,6,232.0,100.0,3288.0,15.5,71,USA,"""amc matador"""
36,14.0,8,350.0,165.0,4209.0,12.0,71,USA,"""chevrolet impala"""
37,14.0,8,400.0,175.0,4464.0,11.5,71,USA,"""pontiac catalina brougham"""
38,14.0,8,351.0,153.0,4154.0,13.5,71,USA,"""ford galaxie 500"""
39,14.0,8,318.0,150.0,4096.0,13.0,71,USA,"""plymouth fury iii"""
40,12.0,8,383.0,180.0,4955.0,11.5,71,USA,"""dodge monaco (sw)"""
41,13.0,8,400.0,170.0,4746.0,12.0,71,USA,"""ford country squire (sw)"""
42,13.0,8,400.0,175.0,5140.0,12.0,71,USA,"""pontiac safari (sw)"""
43,18.0,6,258.0,110.0,2962.0,13.5,71,USA,"""amc hornet sportabout (sw)"""
44,22.0,4,140.0,72.00,2408.0,19.0,71,USA,"""chevrolet vega (sw)"""
45,19.0,6,250.0,100.0,3282.0,15.0,71,USA,"""pontiac firebird"""
46,18.0,6,250.0,88.00,3139.0,14.5,71,USA,"""ford mustang"""
47,23.0,4,122.0,86.00,2220.0,14.0,71,USA,"""mercury capri 2000"""
